"","X.WEEK","GEO_ID","FOODSCARCE_TOTAL","FOODSCARCE_MOE","FOODSCARCE_RATE","FOODSCARCE_RT_MOE","FOODSCARCE_UNIV"
"1",62,"0100000US",27610114,854321,12.4,0.4,222835559
"2",61,"0100000US",26233276,858850,12.1,0.4,217141781
"3",60,"0100000US",27279244,1046473,12.1,0.5,224985250
"4",59,"0100000US",27098472,814154,12.1,0.4,224035533
"5",58,"0100000US",26519880,1157324,11.8,0.5,224248771
"6",57,"0100000US",25405766,1118455,11.3,0.5,225442186
"7",56,"0100000US",24569220,891653,10.9,0.4,225148771
"8",55,"0100000US",24109912,1079944,10.7,0.5,225324614
"9",54,"0100000US",25644482,951908,11.4,0.4,225121927
"10",53,"0100000US",25192989,1018278,11.2,0.4,225624828
"11",52,"0100000US",25748339,1057686,11.4,0.5,225736637
"12",51,"0100000US",24813887,1158975,11,0.5,224878028
"13",50,"0100000US",25734272,1258990,11.4,0.5,224857488
"14",49,"0100000US",25863416,1257857,11.5,0.6,224054627
"15",48,"0100000US",24529106,1221149,11.5,0.6,213161284
"16",47,"0100000US",25020272,980318,11.9,0.5,211002905
"17",46,"0100000US",23669506,1047897,11.1,0.5,214060866
"18",45,"0100000US",23925029,938817,11.2,0.4,213005884
"19",44,"0100000US",23700917,1176859,11.2,0.6,211733779
"20",43,"0100000US",21752925,913371,10.3,0.4,211675140
"21",42,"0100000US",22117076,1009575,10.1,0.4,218645382
"22",41,"0100000US",22750036,852223,10.2,0.4,223292171
"23",40,"0100000US",21116693,1083236,9.7,0.5,218163556
"24",39,"0100000US",19859009,1116265,9.4,0.5,212211601
"25",38,"0100000US",20157442,1193898,9.4,0.6,213883469
"26",37,"0100000US",19088862,1090594,8.8,0.5,215841349
"27",36,"0100000US",18483790,927584,8.6,0.4,215979571
"28",35,"0100000US",16726322,806354,7.8,0.4,214561208
"29",34,"0100000US",17698955,1008935,8.2,0.5,215237891
"30",33,"0100000US",20123506,868623,9.7,0.4,208503409
"31",32,"0100000US",20230266,1019760,9.7,0.5,209124713
"32",31,"0100000US",20251291,909298,9.7,0.4,209532248
"33",30,"0100000US",19376041,994407,9.1,0.5,211846812
"34",29,"0100000US",18197385,1051093,8.7,0.5,208872448
"35",28,"0100000US",16797643,863159,8.1,0.4,206508360
"36",27,"0100000US",18495327,1067367,8.8,0.5,210097997
"37",26,"0100000US",22802022,781193,10.7,0.4,212726597
"38",25,"0100000US",22481056,982907,10.5,0.4,213908796
"39",24,"0100000US",24402371,940599,11.4,0.5,214112845
"40",23,"0100000US",24069692,1157840,11.2,0.5,215544738
"41",22,"0100000US",23750093,969824,11.3,0.5,210076412
"42",21,"0100000US",29654823,936990,13.7,0.4,216446296
"43",20,"0100000US",27380060,965042,12.7,0.4,216398427
"44",19,"0100000US",25749469,896236,11.9,0.4,215967309
"45",18,"0100000US",25761209,928633,12,0.4,215296772
"46",17,"0100000US",23883801,1078539,10.9,0.5,218462392
"47",16,"0100000US",22681729,964626,10.3,0.4,219391002
"48",15,"0100000US",22222901,706459,10.1,0.3,220182837
"49",14,"0100000US",22897810,1021596,10.5,0.5,218535605
"50",13,"0100000US",22365212,736903,10.3,0.3,217446620
"51",12,"0100000US",29284583,1266138,12.1,0.5,242899746
"52",11,"0100000US",26058378,907236,10.8,0.4,242101665
"53",10,"0100000US",26324301,898739,10.8,0.4,242941741
"54",9,"0100000US",25359019,1141726,10.4,0.5,242927404
"55",8,"0100000US",23678322,1213808,9.7,0.5,243760956
"56",7,"0100000US",24492714,1172887,10.1,0.5,243326699
"57",6,"0100000US",24953623,1051475,10.3,0.4,242251756
"58",5,"0100000US",25912441,976839,10.7,0.4,242715813
"59",4,"0100000US",24048972,1237967,9.9,0.5,242572860
"60",3,"0100000US",26160379,1167858,10.7,0.5,243623863
"61",2,"0100000US",25893667,1440230,10.6,0.6,243779595
"62",1,"0100000US",24069654,835732,9.8,0.3,244934954
