,Date,Category,Dollars,Dollars last year,Unit sales,Unit sales last year,Percent change dollars 1 year,Percent change units 1 year,Unemployment_rate,FSI,WEI,Inflation,FOODSCARCE_RATE
1,26/04/2020,All foods,15002267223,12032243667,4747511432,4188922129,24.7,13.3,14.7,2.3108,-8.06,3.5,9.8
2,3/05/2020,All foods,15560516186,12768691010,4878724710,4405828407,21.9,10.7,13.2,1.1535,-8.10,4,9.8
3,10/05/2020,All foods,15825057236,13052968693,4934240500,4450080365,21.2,10.9,13.2,0.8563,-7.28,4,10.6
4,17/05/2020,All foods,14954737200,12732833309,4721968388,4367934256,17.5,8.1,13.2,0.8341,-7.31,4,10.7
5,24/05/2020,All foods,15586238807,13432608295,4921049615,4586004422,16,7.3,13.2,0.3749,-6.88,4,9.9
6,31/05/2020,All foods,14666160008,12802986651,4647191440,4383900153,14.6,6,13.2,0.1566,-6.66,4,10.7
7,7/06/2020,All foods,14987673990,13200853387,4764446729,4548141295,13.5,4.8,11.0,-0.1432,-6.30,4.5,10.3
8,14/06/2020,All foods,14987853202,13310380181,4762486791,4536243858,12.6,5,11.0,0.2278,-5.61,4.5,10.1
9,21/06/2020,All foods,15200088960,12800006675,4788627003,4403360744,18.8,8.7,11.0,0.4205,-5.07,4.5,9.7
10,28/06/2020,All foods,14515808606,13097682835,4626073272,4496451974,10.8,2.9,11.0,0.4461,-4.88,4.5,10.4
11,5/07/2020,All foods,16221294603,14425744146,5111988370,4859302324,12.4,5.2,10.2,0.3565,-4.38,4.1,10.8
12,12/07/2020,All foods,14577333725,13001575453,4683015175,4478423851,12.1,4.6,10.2,0.0740,-4.19,4.1,10.8
13,19/07/2020,All foods,14869305874,12970986054,4762548120,4459398582,14.6,6.8,10.2,0.0270,-4.85,4.1,12.1
14,26/07/2020,All foods,14475906090,12688246719,4647089279,4355273251,14.1,6.7,10.2,-0.2503,-4.25,4.1,12.1
15,2/08/2020,All foods,14429863361,13059655249,4635690472,4491553900,10.5,3.2,8.4,-0.1131,-4.01,4.1,12.1
16,9/08/2020,All foods,14683011420,13302882860,4723578391,4579588943,10.4,3.1,8.4,-0.2394,-3.61,4.1,12.1
17,16/08/2020,All foods,14676029449,13092658348,4727425877,4515530449,12.1,4.7,8.4,-0.3381,-3.56,4.1,12.1
18,23/08/2020,All foods,14460052168,12849151031,4674685915,4423025036,12.5,5.7,8.4,-0.1241,-2.87,4.1,10.3
19,30/08/2020,All foods,14117026625,13530896900,4575349952,4623949217,4.3,-1.1,8.4,-0.3189,-2.25,4.1,10.3
20,6/09/2020,All foods,14936127746,13216731436,4818480432,4534401536,13,6.3,7.9,-0.1580,-2.34,3.9,10.5
21,13/09/2020,All foods,14373825524,12874737019,4653591021,4435819391,11.6,4.9,7.9,-0.0042,-3.45,3.9,10.5
22,20/09/2020,All foods,14161264668,12689297148,4580420379,4339970296,11.6,5.5,7.9,-0.1343,-2.49,3.9,10.1
23,27/09/2020,All foods,13897382838,12518488216,4499676903,4283898936,11,5,7.9,0.2346,-2.54,3.9,10.1
24,4/10/2020,All foods,14216289977,13043269353,4614440778,4473320295,9,3.2,6.9,-0.0662,-2.19,3.9,10.3
25,11/10/2020,All foods,14387003456,13091685553,4654249545,4501524830,9.9,3.4,6.9,-0.2498,-1.82,3.9,10.3
26,18/10/2020,All foods,14212282191,12817960029,4587894203,4368603230,10.9,5,6.9,-0.0710,-1.89,3.9,10.9
27,25/10/2020,All foods,14103982889,12718402160,4553473586,4326634117,10.9,5.2,6.9,0.0000,-1.43,3.9,10.9
28,1/11/2020,All foods,14589194526,13053007246,4656226888,4394370042,11.8,6,6.7,0.3848,-1.24,3.7,12
29,8/11/2020,All foods,14360060585,12930691827,4655838892,4456075329,11.1,4.5,6.7,-0.0497,-1.17,3.7,12
30,15/11/2020,All foods,14644891892,12921528768,4752431189,4429238715,13.3,7.3,6.7,-0.4427,-1.26,3.7,11.9
31,22/11/2020,All foods,16071153357,13988312234,5183818935,4755162078,14.9,9,6.7,-0.1148,-1.18,3.7,11.9
32,29/11/2020,All foods,14463771068,13840096775,4610367896,4621272073,4.5,-0.2,6.7,-0.3880,-0.53,3.7,12.7
33,6/12/2020,All foods,13807580150,12595874838,4476418970,4304471198,9.6,4,6.7,-0.4506,-0.82,3.9,12.7
34,13/12/2020,All foods,14740340880,13358322121,4739122777,4507642304,10.3,5.1,6.7,-0.4407,-1.00,3.9,13.7
35,20/12/2020,All foods,15811946859,15186026845,4987449682,4947974807,4.1,0.8,6.7,-0.4062,-0.40,3.9,13.7
36,27/12/2020,All foods,15677780458,13661858255,4814912869,4419601779,14.8,8.9,6.7,-0.4471,0.83,3.9,13.7
37,3/01/2021,All foods,14333273718,12842016759,4513136025,4333183589,11.6,4.2,6.3,-0.4515,-0.37,3.8,13.7
38,10/01/2021,All foods,14208983812,12884602195,4613382752,4442499565,10.3,3.8,6.3,-0.5106,0.22,3.8,11.3
39,17/01/2021,All foods,14542151859,12750539589,4705791643,4375439069,14.1,7.6,6.3,-0.5484,0.24,3.8,11.3
40,24/01/2021,All foods,14098086960,12330787275,4549790112,4216544572,14.3,7.9,6.3,-0.4998,0.30,3.8,11.2
41,31/01/2021,All foods,14068573505,12994643990,4529786890,4409547086,8.3,2.7,6.3,-0.2909,-0.11,3.8,11.2
42,7/02/2021,All foods,14952261438,13061701629,4769538285,4432555601,14.5,7.6,6.2,-0.6220,-0.10,3.6,11.4
43,14/02/2021,All foods,15123880841,13398453195,4760811042,4477983336,12.9,6.3,6.2,-0.8101,0.45,3.6,11.4
44,21/02/2021,All foods,13976368992,12587779972,4452125452,4294142053,11,3.7,6.2,-0.7425,-0.99,3.6,10.5
45,28/02/2021,All foods,14065571187,13110375902,4493543527,4452973699,7.3,0.9,6.2,-0.5418,0.04,3.6,10.5
46,7/03/2021,All foods,14365628097,14105116084,4571587429,4777201869,1.8,-4.3,6.1,-0.4790,0.93,3.5,10.7
47,14/03/2021,All foods,14588020791,19869452702,4633612716,6600665180,-26.6,-29.8,6.1,-0.5697,1.10,3.5,10.7
48,21/03/2021,All foods,14491709797,19277178200,4572746796,6301800798,-24.8,-27.4,6.1,-0.6195,3.65,3.5,8.8
49,28/03/2021,All foods,14439251328,14372804780,4558457668,4662786695,0.5,-2.2,6.1,-0.7026,6.35,3.5,8.8
50,4/04/2021,All foods,15837018383,15545074300,4985592844,4995525953,1.9,-0.2,6.1,-0.7962,8.00,2.4,8.8
51,11/04/2021,All foods,14199061025,15808110159,4482077035,5066490184,-10.2,-11.5,6.1,-0.8727,9.97,2.4,8.8
52,18/04/2021,All foods,14410418145,14915492824,4526412789,4748699131,-3.4,-4.7,6.1,-0.8400,10.17,2.4,8.1
53,25/04/2021,All foods,14309118667,15002171687,4489188689,4747494044,-4.6,-5.4,6.1,-0.8074,10.24,2.4,8.1
54,2/05/2021,All foods,14444548396,15560426999,4528046806,4878708893,-7.2,-7.2,5.8,-0.8893,10.26,2.2,8.7
55,9/05/2021,All foods,15071810893,15825035903,4663004509,4934237181,-4.8,-5.5,5.8,-0.8710,9.55,2.2,8.7
56,16/05/2021,All foods,14628547509,14954647751,4552282213,4721953687,-2.2,-3.6,5.8,-0.8524,9.56,2.2,9.1
57,23/05/2021,All foods,14785342582,15586209581,4621102060,4921045275,-5.1,-6.1,5.8,-0.7950,9.47,2.2,9.1
58,30/05/2021,All foods,15625307649,14666092210,4829700462,4647180351,6.5,3.9,5.8,-0.8711,9.56,2.2,9.7
59,6/06/2021,All foods,15147933657,14987658563,4688007392,4764444978,1.1,-1.6,5.9,-0.9319,7.92,2.4,9.7
60,13/06/2021,All foods,15112618591,14987790419,4697926537,4762475640,0.8,-1.4,5.9,-0.8394,8.73,2.4,9.7
61,20/06/2021,All foods,15450316516,15200036993,4756824680,4788618027,1.6,-0.7,5.9,-0.8726,8.40,2.4,9.7
62,27/06/2021,All foods,14815200868,14515767956,4589000158,4626066383,2.1,-0.8,5.9,-0.8798,7.97,2.4,9.7
63,4/07/2021,All foods,16336807861,16221289656,5022747771,5111987950,0.7,-1.7,5.4,-0.8975,8.32,3.4,9.7
64,11/07/2021,All foods,15034261746,14577283701,4651643506,4683007255,3.1,-0.7,5.4,-0.7594,6.51,3.4,9.7
65,18/07/2021,All foods,14978111208,14869244808,4644766662,4762538913,0.7,-2.5,5.4,-0.8752,7.12,3.4,9.7
66,25/07/2021,All foods,14914008778,14475848979,4618989422,4647080418,3,-0.6,5.4,-0.6292,7.03,3.4,8.2
67,1/08/2021,All foods,14892640057,14429803485,4612358633,4635680634,3.2,-0.5,5.2,-0.8339,7.00,3.7,8.2
68,8/08/2021,All foods,15285646307,14682944491,4715472117,4723566859,4.1,-0.2,5.2,-0.7269,6.40,3.7,7.8
69,15/08/2021,All foods,15345341294,14675965672,4734625362,4727415407,4.6,0.2,5.2,-0.9471,6.81,3.7,7.8
70,22/08/2021,All foods,15124432962,14459994300,4663196510,4674676988,4.6,-0.2,5.2,-0.6571,6.17,3.7,8.6
71,29/08/2021,All foods,14993125859,14116970230,4628668168,4575341234,6.2,1.2,5.2,-0.8092,6.80,3.7,8.6
72,5/09/2021,All foods,15659065495,14936064083,4797626020,4818470203,4.8,-0.4,4.8,-0.7915,6.48,4.6,8.8
73,12/09/2021,All foods,15239327108,14373767893,4666276933,4653581786,6,0.3,4.8,-0.7487,6.51,4.6,8.8
74,19/09/2021,All foods,14934708145,14161206909,4574275436,4580410988,5.5,-0.1,4.8,-0.6934,6.38,4.6,9.4
75,26/09/2021,All foods,14759248845,13897329446,4509435471,4499668317,6.2,0.2,4.8,-0.5892,6.38,4.6,9.4
76,3/10/2021,All foods,14945255705,14216230396,4542506415,4614430847,5.1,-1.6,4.5,-0.6937,6.41,5.3,9.4
77,10/10/2021,All foods,15268795005,14386947778,4619884332,4654240369,6.1,-0.7,4.5,-0.6829,5.84,5.3,9.4
78,17/10/2021,All foods,15221616596,14212225900,4591286326,4587884611,7.1,0.1,4.5,-0.7564,6.27,5.3,9.4
79,24/10/2021,All foods,15114305105,14103930477,4546052599,4553462828,7.2,-0.2,4.5,-0.9378,5.29,5.3,9.4
80,31/10/2021,All foods,15310904693,14589149708,4559745841,4656218841,4.9,-2.1,4.5,-0.8305,5.66,5.3,9.4
81,7/11/2021,All foods,15038146462,14360010914,4541295876,4655829650,4.7,-2.5,4.2,-0.6971,5.21,6.1,9.4
82,14/11/2021,All foods,15438969429,14644848854,4652889495,4752423510,5.4,-2.1,4.2,-0.8174,5.18,6.1,9.4
83,21/11/2021,All foods,16567815827,16071109554,4991121247,5183810814,3.1,-3.7,4.2,-0.7397,5.58,6.1,9.4
84,28/11/2021,All foods,15534907083,14463732303,4625320489,4610360791,7.4,0.3,4.2,-0.5310,6.15,6.1,9.4
85,5/12/2021,All foods,14571576085,13807542207,4387442415,4476411936,5.5,-2,3.9,-0.1835,5.43,6.3,9.7
86,12/12/2021,All foods,15565501927,14740303776,4637830364,4739115771,5.6,-2.1,3.9,-0.7625,5.93,6.3,9.7
87,19/12/2021,All foods,16547571156,15811915401,4858426090,4987444179,4.7,-2.6,3.9,-0.5448,5.18,6.3,9.7
88,26/12/2021,All foods,17865275126,15677760314,5082747405,4814908814,14,5.6,3.9,-0.6546,6.07,6.3,9.7
89,2/01/2022,All foods,14861294951,14333245459,4312932754,4513130783,3.7,-4.4,4.0,-0.8224,5.26,7,10.2
90,9/01/2022,All foods,14802937247,14208963232,4444613158,4613378807,4.2,-3.7,4.0,-0.7944,4.35,7,10.2
91,16/01/2022,All foods,15681235272,14542127459,4668490804,4705787571,7.8,-0.8,4.0,-0.7365,4.67,7,10.2
